IBGE;Estado_Municipio;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2020;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
221100;2;2211003306526;0;257;273;362;216;18;05/05/2019;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;2,00;;;;;;;2,00;2;
221100;2;2211003306526;0;257;273;265;21;20;15/06/2015;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;2,00;;;;;;;2,00;2;
221100;2;2211003307103;0;257;274;138;218;18;10/07/2013;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;;1,00;3,00;;2,00;;;1,00;2,00;;;2,00;4;
221100;2;2211003307103;0;255;238;293;216;263;01/03/2016;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;1,00;3,00;;2,00;;;1,00;2,00;;;2,00;4;
221100;2;2211003307103;0;257;273;138;218;18;08/02/2002;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;1,00;3,00;;2,00;;;1,00;2,00;;;2,00;4;
221100;2;2211003307103;0;257;273;266;21;18;20/06/2017;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;1,00;3,00;;2,00;;;1,00;2,00;;;2,00;4;
230080;2;2300803308550;1;258;274;138;218;18;01/06/2016;2300804;23;2;Antonina do Norte;6984;4999;1985;Pequeno I;260,104;;31.08.2020;31/ago/20;3,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;;;3,00;1,00;1,00;;;1,00;3,00;;;;3;
230080;2;2300803308550;0;257;273;138;218;18;01/11/2016;2300804;23;2;Antonina do Norte;6984;4999;1985;Pequeno I;260,104;;31.08.2020;31/ago/20;3,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;3,00;1,00;1,00;;;1,00;3,00;;;;3;
230080;2;2300803308550;0;257;275;138;21;20;26/04/2016;2300804;23;2;Antonina do Norte;6984;4999;1985;Pequeno I;260,104;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;1,00;;;;;1,00;;;;;;3,00;1,00;1,00;;;1,00;3,00;;;;3;
230428;2;2304283308390;0;257;274;266;218;18;10/04/2017;2304285;23;2;Eusébio;46033;46033;0;Pequeno II;79,005;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;2,00;;1,00;;;1,00;;;1,00;1,00;2;
