IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
17;1721003308700;0;255;238;291;349;391;01/01/2019; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;1;4; ;2; ; ;1;2; ; ;4;6
172120;1721203312241;0;257;275;138;21;20;03/05/2021;1721208;17;1;Tocantinópolis;22619;18318;4301;Pequeno II;1077,073; ;2;31.08.2021;8/31/2021;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ;1
210047;2100473309442;0;257;274;291;218;18;02/01/2021;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;2; ; ; ;1;1; ; ; ;2;2
210047;2100473309442;1;257;232;266;21;272;02/01/2021;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032; ;2;31.08.2021;8/31/2021;4;2;4; ; ;1; ; ; ;1; ; ; ; ;1; ; ;2; ; ; ;1;1; ; ; ;2;2
210235;2102353308494;0;257;273;292;21;20;04/01/2021;2102358;21;2;Buritirana;14784;4146;10638;Pequeno I;818,424; ;2;31.08.2021;8/31/2021;2;2;3; ; ;1; ;1; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ;1; ;1
210800;2108003308201;0;258;273;138;218;272;01/03/2021;2108009;21;2;Pastos Bons;18067;12307;5760;Pequeno I;1635,321; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;2; ;1; ;1; ;1; ; ;1;2
210800;2108003308201;0;257;232;142;218;272;01/03/2021;2108009;21;2;Pastos Bons;18067;12307;5760;Pequeno I;1635,321; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ;1; ; ; ; ;1; ; ;2; ;1; ;1; ;1; ; ;1;2
210860;2108603308854;0;257;273;266;218;18;04/01/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;3; ;1; ; ;1; ; ;1;2;3
210860;2108603308854;0;257;274;266;218;18;04/01/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3; ;1; ; ;1; ; ;1;2;3
210860;2108603308854;0;257;237;292;21;20;04/01/2021;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966; ;2;31.08.2021;8/31/2021;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ; ;3; ;1; ; ;1; ; ;1;2;3
