NU_IDENTIFICADOR;IBGE;IBGE7;Regiao;UF;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Q_completo;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;q33_15_3;q33_5_velha;q33_14_velha;DataCenso;DataCenso_2019;q33_2_rec;Idade;Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;2;255;239;266;254;20;11/03/2019;2; ; ;4148422;11/03/2019;31.08.2019;8/31/2019;8/9/1988;31;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;255;238;138;254;263;01/04/2019;99; ; ;3483480;01/04/2019;31.08.2019;8/31/2019;1/14/1976;43;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42148096680;421480;4214805;4;42;Rio do Sul;Rio do Sul;258,4;61198;56785;4413;3;0;1;258;273;138;249;18;15/08/2016;2;3;1;6869507;15/08/2016;31.08.2019;8/31/2019;10/24/1982;36;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;0;4;0;1;0;0;0;5;0;0;0;5
42148096680;421480;4214805;4;42;Rio do Sul;Rio do Sul;258,4;61198;56785;4413;3;0;2;257;238;138;21;20;01/01/2019;1;99; ;45278180;01/01/2019;31.08.2019;8/31/2019;7/1/1988;31;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;0;4;0;1;0;0;0;5;0;0;0;5
42148096680;421480;4214805;4;42;Rio do Sul;Rio do Sul;258,4;61198;56785;4413;3;0;2;257;238;138;248;20;02/10/2012;2;3;1;3034345;02/10/2012;31.08.2019;8/31/2019;12/14/1979;39;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;0;4;0;1;0;0;0;5;0;0;0;5
42148096680;421480;4214805;4;42;Rio do Sul;Rio do Sul;258,4;61198;56785;4413;3;0;1;257;238;138;248;20;02/06/2013;2;3;1;3394073;02/06/2013;31.08.2019;8/31/2019;5/23/1977;42;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;0;4;0;1;0;0;0;5;0;0;0;5
42148096680;421480;4214805;4;42;Rio do Sul;Rio do Sul;258,4;61198;56785;4413;3;0;1;253;239;138;252;20;28/10/2019; ; ; ;44602553;28/10/2019;31.08.2019;8/31/2019;6/22/1983;36;2;0;1;1; ; ; ; ; ; ; ;1; ; ; ;1;0;4;0;1;0;0;0;5;0;0;0;5
42166097314;421660;4216602;4;42;São José;São José;113,17;209804;207312;2492;4;0;1;257;273;138;249;18;01/02/2017;2; ; ;6996297;01/02/2017;31.08.2019;8/31/2019;4/9/1983;36;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
42166097314;421660;4216602;4;42;São José;São José;113,17;209804;207312;2492;4;0;1;257;275;138;248;20;01/06/2019;2; ; ;22228705;01/06/2019;31.08.2019;8/31/2019;2/8/1968;51;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
42166097314;421660;4216602;4;42;São José;São José;113,17;209804;207312;2492;4;0;2;255;238;138;251;20;01/10/2018;2; ; ;8365881;01/10/2018;31.08.2019;8/31/2019;12/1/1961;57;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
42166097314;421660;4216602;4;42;São José;São José;113,17;209804;207312;2492;4;0;2;257;237;292;21;263;22/05/2017;2; ; ;3405500;22/05/2017;31.08.2019;8/31/2019;1/31/1978;41;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ;0;1;3;1;1;0;0;0;3;0;1;0;4
43031096754;430310;4303103;4;43;Cachoeirinha;Cachoeirinha;43,77;118278;118278; ;4;0;1;256;239;138;248;20;05/05/2006;3; ; ;5068091965;05/05/2006;31.08.2019;8/31/2019;2/6/1975;44;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;2;2;0;2;0;0;0;4;0;0;0;4
43031096754;430310;4303103;4;43;Cachoeirinha;Cachoeirinha;43,77;118278;118278; ;4;0;1;257;239;138;251;20;01/05/2010;1; ; ;9077909233;01/05/2010;31.08.2019;8/31/2019;11/3/1981;37;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;2;2;0;2;0;0;0;4;0;0;0;4
43031096754;430310;4303103;4;43;Cachoeirinha;Cachoeirinha;43,77;118278;118278; ;4;0;1;255;273;138;21;272;29/06/2005;2; ; ;8041451785;29/06/2005;31.08.2019;8/31/2019;3/26/1969;50;3;1;1; ;1; ; ;1; ; ; ;1; ; ; ;0;2;2;0;2;0;0;0;4;0;0;0;4
43031096754;430310;4303103;4;43;Cachoeirinha;Cachoeirinha;43,77;118278;118278; ;4;0;1;257;273;138;249;272;16/03/2016;1; ; ;4075548571;16/03/2016;31.08.2019;8/31/2019;11/25/1980;38;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;2;2;0;2;0;0;0;4;0;0;0;4
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;2;257;237;138;21;20;17/01/2019;1; ; ;4076891128;17/01/2019;31.08.2019;8/31/2019;2/1/1980;39;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;2;257;237;138;248;20;03/10/2017;4; ; ;5073620725;03/10/2017;31.08.2019;8/31/2019;6/1/1980;39;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;1;257;273;138;249;20;01/11/2019;99; ; ;4016864102;01/11/2019;31.08.2019;8/31/2019;4/15/1961;58;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;1;255;238;138;252;20;17/01/2019;99; ; ;5039129134;17/01/2019;31.08.2019;8/31/2019;10/6/1965;53;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;1;254;238;138;254;20;03/04/2017; ; ; ;1036771523;03/04/2017;31.08.2019;8/31/2019;2/12/1958;61;5;0;1;1; ; ; ; ; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;1;255;238;138;254;263;03/10/2017;99; ; ;1001350485;03/10/2017;31.08.2019;8/31/2019;2/3/1955;64;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43046096272;430460;4304606;4;43;Canoas;Canoas;131,1;323827;323827; ;4;0;1;256;273;292;251;272;01/11/2019;1; ; ;5041204024;01/11/2019;31.08.2019;8/31/2019;2/17/1970;49;3;1;3; ;1; ; ;1; ; ; ; ; ;1; ;1;3;3;0;2;0;0;0;6;0;1;0;7
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;237;138;248;18;07/07/2018;2;4;3;8094466342;07/07/2018;31.08.2019;8/31/2019;12/14/1988;30;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;256;238;138;248;18;01/03/2018;2;4;3;3027480825;01/03/2018;31.08.2019;8/31/2019;8/28/1970;49;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;2;257;237;138;21;20;01/03/2018;1;2;3;2093330351;01/03/2018;31.08.2019;8/31/2019;3/27/1985;34;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;237;138;248;20;10/07/2019;2;4;99;5067963198;10/07/2019;31.08.2019;8/31/2019;11/24/1977;41;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;256;238;138;248;20;02/05/2017;2;4;3;1044562864;02/05/2017;31.08.2019;8/31/2019;12/28/1984;34;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;238;138;248;20;13/11/2019;3;2; ;1010891206;13/11/2019;31.08.2019;8/31/2019;3/15/1972;47;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;2;256;239;138;248;20;01/03/2018;3;4;99;5035570158;01/03/2018;31.08.2019;8/31/2019;2/23/1969;50;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;2;257;276;138;249;20;16/10/2017;3;4;99;7046742347;16/10/2017;31.08.2019;8/31/2019;5/22/1967;52;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;2;257;232;138;251;20;01/04/2019;1;4;99;1055908394;01/04/2019;31.08.2019;8/31/2019;7/24/1975;44;3;2;1; ; ;1; ; ; ;1; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;237;138;252;20;01/10/1999;99; ; ;1044349221;01/10/1999;31.08.2019;8/31/2019;6/8/1964;55;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;273;138;249;272;22/08/2018;2;4;99;1084110343;22/08/2018;31.08.2019;8/31/2019;4/14/1984;35;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;260;273;138;249;272;06/12/2018;2;4;3;1036168365;06/12/2018;31.08.2019;8/31/2019;4/7/1966;53;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;274;138;249;272;29/07/2019;2;4;99;8079291021;29/07/2019;31.08.2019;8/31/2019;2/2/1983;36;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
43051094550;430510;4305108;4;43;Caxias do Sul;Caxias do Sul;1643,91;435564;419406;16158;4;0;1;257;274;138;249;272;10/07/2019;2;4;99;7102088312;10/07/2019;31.08.2019;8/31/2019;7/5/1991;28;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;3;11;0;2;0;1;2;14;0;0;0;14
