IBGE;q_16_3;q_16_8;q_16_9;q_16_10;q_16_11;q_16_12;q_16_13;UF;Região;DataCenso;DataCenso_2018;q_16_2_rec;Idade;Faixas_etarias;d_16_8;d_16_10;d_16_8bin1;d_16_8bin2;d_16_8bin3;d_16_9bin1;d_16_9bin2;d_16_9bin3;d_16_9bin4;d_16_9bin5;d_16_10bin1;d_16_10bin2;d_16_10bin3;d_16_10bin4;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores
27;2;260;237;292;48;20;09/01/2017;27;2;31.08.2018;8/31/2018;7/17/1963;55;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;257;237;292;249;20;21/12/2017;27;2;31.08.2018;8/31/2018;5/24/1974;44;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
28;1;257;237;292;21;18;01/08/2017;28;2;31.08.2018;8/31/2018;3/27/1980;38;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;1;256;239;292;250;20;01/05/2015;28;2;31.08.2018;8/31/2018;11/20/1988;29;1;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;2;255;239;138;250;20;01/03/2017;28;2;31.08.2018;8/31/2018;12/31/1963;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;3;1; ; ; ; ; ;1; ;3; ;4
28;1;255;238;292;250;20;01/06/2018;28;2;31.08.2018;8/31/2018;11/2/1962;55;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;3;1; ; ; ; ; ;1; ;3; ;4
29;1;257;235;292;249;20; ;29;2;31.08.2018;8/31/2018;11/20/1993;24;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;255;238;292;250;20; ;29;2;31.08.2018;8/31/2018;1/22/1985;33;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;257;237;292;21;20;04/05/2017;29;2;31.08.2018;8/31/2018;3/7/1986;32;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;255;238;292;250;20; ;29;2;31.08.2018;8/31/2018;5/19/1987;31;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;256;238;292;250;20; ;29;2;31.08.2018;8/31/2018;3/7/1988;30;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;237;138;249;20; ;29;2;31.08.2018;8/31/2018;10/25/1954;63;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;253;239;138;251;20; ;29;2;31.08.2018;8/31/2018;11/4/1958;59;4;0;1;1; ; ; ; ; ; ; ;1; ; ; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;255;238;138;250;20; ;29;2;31.08.2018;8/31/2018;1/4/1958;60;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;255;238;292;250;20; ;29;2;31.08.2018;8/31/2018;6/13/1959;59;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;237;138;21;20; ;29;2;31.08.2018;8/31/2018;3/19/1967;51;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;237;292;249;20; ;29;2;31.08.2018;8/31/2018;12/1/1966;51;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;237;292;249;20; ;29;2;31.08.2018;8/31/2018;4/23/1979;39;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;1;257;235;292;249;20; ;29;2;31.08.2018;8/31/2018;3/26/1992;26;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;5;8; ; ; ; ; ;4; ;9;1;14
29;2;257;236;266;249;20; ;29;2;31.08.2018;8/31/2018;11/1/1975;42;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;5;8; ; ; ; ; ;4; ;9;1;14
31;1;257;237;292;21;20; ;31;3;31.08.2018;8/31/2018;2/22/1972;46;3;2;3; ; ;1; ; ; ; ; ; ; ;1; ;1;8;8; ;1; ;1; ;9; ;2;6;17
