IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;21/11/1986;1;257;273;266;218;20;17/01/2017;31.08.2018;8/31/2018;11/21/1986;31;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;21/09/1987;1;255;238;291;254;20;26/04/2018;31.08.2018;8/31/2018;9/21/1987;30;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;10/12/1974;1;255;239;291;254;20;22/06/2018;31.08.2018;8/31/2018;12/10/1974;43;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;11/10/1981;1;257;237;266;21;20;13/01/2015;31.08.2018;8/31/2018;10/11/1981;36;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
170550;1705508;17;1;Colinas do Tocantins;278707;30838;29607;1231;2;843,846;1;1705503306371;06/07/1983;1;257;273;266;21;20;27/12/2017;31.08.2018;8/31/2018;7/6/1983;35;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;1;0;1;0;0;0;0;0;0;1;1
170610;1706100;17;1;Cristalândia;116002;7234;5924;1310;1;1848,241;1;1706103306579;23/09/1977;1;257;273;266;218;20;19/11/2018;31.08.2018;8/31/2018;9/23/1977;40;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;1;0;1;0;0;0;0;0;0;1;1
171488;1714880;17;1;Nova Olinda;278707;10686;7465;3221;1;1566,184;1;1714883308556;22/10/1971;1;257;273;266;21;272;13/02/2017;31.08.2018;8/31/2018;10/22/1971;46;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;3;0;1;0;0;1;1;0;0;2;3
171488;1714880;17;1;Nova Olinda;278707;10686;7465;3221;1;1566,184;1;1714883308556;04/04/1977;1;257;237;138;218;272;15/02/2015;31.08.2018;8/31/2018;4/4/1977;41;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;0;3;0;1;0;0;1;1;0;0;2;3
171488;1714880;17;1;Nova Olinda;278707;10686;7465;3221;1;1566,184;1;1714883308556;15/09/1979;1;257;274;266;218;20;13/02/2017;31.08.2018;8/31/2018;9/15/1979;38;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;0;3;0;1;0;0;1;1;0;0;2;3
17; ;17;1; ; ; ; ; ; ; ;2;1721003308700;08/10/1983;1;257;274;266;254;20;22/05/2017;31.08.2018;8/31/2018;10/8/1983;34;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;2;7;0;4;0;0;2;1;0;0;9;10
